ECU ID: 38 00 03 05
#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_uk1,80x0C_park_neutral_switch,80x0D-0E_fault_codes,80x0F_idle_set_point,80x10_idle_hot,80x11_uk2,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,80x1A_uk4,80x1B_uk5,7dx01_ignition_switch,7dx02_throttle_angle,7dx03_uk6,7dx04_air_fuel_ratio,7dx05_dtc2,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0E_dtc3,7dx0F_idle_base_pos,7dx10_uk7,7dx11_dtc4,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx14_idle_error2,7dx14-15_uk10,7dx16_dtc5,7dx17_uk11,7dx18_uk12,7dx19_uk13,7dx1A_uk14,7dx1B_uk15,7dx1C_uk16,7dx1D_uk17,7dx1E_uk18,7dx1F_uk19
16:00:31,933,80,200,28,200,55,13.3,0.84,0,0,1,0,32,20,0,126,188,5,14,2.96,1,0,0,1,9,0,14.6,64,45,255,255,0,0,-7,99,0,255,101,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:32,925,80,200,29,200,54,13.3,0.84,0,0,1,0,32,20,0,125,190,5,14,2.96,1,0,0,1,9,0,14.6,64,275,255,255,0,0,-7,99,0,255,101,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:34,908,80,200,29,200,47,13.3,0.76,0,0,1,0,32,20,0,122,192,5,14,2.95,1,0,0,1,9,0,14.6,64,735,255,255,0,0,-7,98,0,255,101,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:36,951,80,200,29,200,44,13.3,0.74,0,0,1,0,32,20,0,121,178,5,14,2.95,1,0,0,1,9,0,14.6,64,705,255,255,0,0,-7,97,0,255,101,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:37,934,80,200,29,200,44,13.3,0.74,0,0,1,0,32,20,0,121,194,5,14,2.95,1,0,0,1,9,0,14.6,64,715,255,255,0,0,-7,96,0,255,101,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:39,903,80,200,29,200,42,13.3,0.74,0,0,1,0,32,20,0,121,220,5,14,2.95,1,0,0,1,9,0,14.6,64,545,255,255,0,0,-7,98,0,255,101,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:40,925,80,200,29,200,42,13.3,0.74,0,0,1,0,32,20,0,121,204,5,14,2.96,1,0,0,1,9,0,14.6,64,115,255,255,0,0,-7,101,0,255,100,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:42,929,80,200,29,200,43,13.3,0.74,0,0,1,0,32,20,0,121,196,5,14,2.95,1,0,0,1,9,0,14.6,64,750,255,255,0,0,-7,99,0,255,100,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:43,927,80,200,29,200,42,13.3,0.74,0,0,1,0,32,20,0,121,190,5,14,2.94,1,0,0,1,9,0,14.6,64,435,255,255,0,0,-7,101,0,255,100,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:45,905,80,200,29,200,28,13.3,0.48,0,0,1,0,32,20,0,104,213,5,14,3.02,1,0,0,1,9,0,14.6,64,815,255,255,0,0,-7,99,0,255,100,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:47,905,80,200,29,200,30,13.3,0.54,0,0,1,0,32,20,0,104,207,5,14,3.02,1,0,0,1,9,0,14.6,64,95,255,255,0,0,-7,100,0,255,100,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:48,935,81,200,29,200,37,13.3,0.62,0,0,1,0,32,20,0,107,197,5,14,3.02,1,0,0,1,9,0,14.6,64,20,255,255,0,0,-7,101,0,255,100,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:50,875,81,200,29,200,39,13.3,0.62,0,0,1,0,32,20,0,107,247,5,14,3.03,1,0,0,1,9,0,14.6,64,800,255,255,0,0,-7,100,0,255,100,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:51,929,81,200,29,200,38,13.3,0.62,0,0,1,0,32,20,0,107,191,5,14,2.95,1,0,0,1,9,0,14.6,64,810,255,255,0,0,-7,99,0,255,100,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:53,956,81,200,29,200,39,13.3,0.62,0,0,1,0,32,20,0,107,168,5,14,2.92,1,0,0,1,9,0,14.6,64,740,255,255,0,0,-7,98,0,255,100,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
