Ecu Id:
#time,engine-rpm,coolant_temp,ambient_temp,intake_air_temp,fuel_temp,map_kpa,battery_voltage,throttle_pot_voltage,idle_switch,uk1,park_neutral_switch,fault_codes,idle_set_point,idle_hot,uk2,iac_position,idle_error,ignition_advance_offset,ignition_advance,coil_time,crancs,uk4,uk5,ignition_switch,throttle_angle,uk6,air_fuel_ratio,fault_code0,lambda_voltage_mv,lambda_sensor_frequency,lambda_sensor_dutycycle,lambda_sensor_status,closed_loop,long_term_fuel_trim,short_term_fuel_trim,carbon_canister_dutycycle,fault_code1,idle_base_pos,uk7,uk8,ignition_advance2,uk9,idle_error2,uk10,fault_code4,uk11,uk12,uk13,uk14,uk15,uk16,uk17,uk18,uk19
18:49:07,0,37,57,15,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:07,0,37,57,15,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:07,0,37,57,15,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:08,0,37,57,15,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:08,0,37,57,15,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:09,0,37,57,15,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:09,0,37,57,15,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:10,0,37,57,15,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:10,0,37,57,15,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:11,0,37,57,15,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:11,0,37,57,15,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:12,0,37,57,16,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:12,0,37,57,16,57,100,11.6,0.56,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:12,0,37,57,16,57,100,11.6,0.6,0,0,1,0,32,55,135,130,1500,5,4,6.772,0,0,0,16,21,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,122,36,255,19,64,21,128,26,0,41,192,42
18:49:13,0,37,57,16,57,98,11.3,0.68,0,0,1,0,32,55,135,130,1500,5,4,7.072,16,0,0,16,23,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,123,29,255,19,64,21,128,26,0,41,192,42
18:49:13,256,37,57,16,57,96,11.1,0.72,0,0,1,0,32,55,135,130,1242,5,4,5.376,16,0,0,16,25,255,146,64,87,255,255,1,0,121,100,0,255,124,255,255,53,136,123,36,255,19,64,21,128,26,0,41,192,42
18:49:14,259,37,57,16,57,95,10.8,0.86,0,0,1,0,32,55,135,130,978,5,4,4.78,16,0,0,16,31,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,128,5,255,19,64,21,128,26,0,41,192,42
18:49:14,1637,37,57,16,57,40,10.7,0.56,0,0,1,0,32,55,135,129,101,5,12.5,3.854,16,0,0,16,17,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,127,10,255,19,64,21,128,26,0,41,192,42
18:49:15,1131,37,57,16,57,36,10.9,0.58,0,0,1,0,32,55,135,134,491,5,14,3.406,16,0,0,16,18,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,125,156,255,19,64,21,128,26,0,41,192,42
18:49:15,837,37,57,16,57,46,11.1,0.62,0,0,1,0,32,55,135,134,709,5,5,3.502,16,0,0,16,20,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,125,11,255,19,64,21,128,26,0,41,192,42
18:49:16,779,37,57,16,57,58,11.2,0.64,0,0,1,0,32,55,135,134,674,5,8.5,3.418,16,0,0,16,21,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,125,217,255,19,64,21,128,26,0,41,192,42
18:49:16,996,37,57,16,57,50,11.4,0.64,0,0,1,0,32,55,135,134,461,5,7,3.28,16,0,0,16,21,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,126,86,255,19,64,21,128,26,0,41,192,42
18:49:16,1084,37,57,16,57,46,11.6,0.66,0,0,1,0,32,55,135,134,414,5,8,3.25,16,0,0,16,22,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,126,86,255,19,64,21,128,26,0,41,192,42
18:49:17,1053,37,57,16,57,50,11.7,0.7,0,0,1,0,32,55,135,135,475,5,7,3.222,16,0,0,16,23,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,126,51,255,19,64,21,128,26,0,41,192,42
18:49:17,1066,37,57,16,57,55,11.9,0.74,0,0,1,0,32,55,135,137,385,5,12,3.232,16,0,0,16,26,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,127,14,255,19,64,21,128,26,0,41,192,42
18:49:18,1342,37,57,16,57,50,12,0.76,0,0,1,0,32,55,135,138,98,5,14,3.208,16,0,0,16,26,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,128,46,255,19,64,21,128,26,0,41,192,42
18:49:18,1601,37,57,16,57,45,12.1,0.78,0,0,1,0,32,55,135,139,132,5,17,3.202,16,0,0,16,27,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,128,171,255,19,64,21,128,26,0,41,192,42
18:49:19,1687,37,57,16,57,43,12.2,0.78,0,0,1,0,32,55,135,140,204,5,17.5,3.2,16,0,0,16,29,255,146,64,87,255,255,1,0,121,100,0,255,121,255,255,53,136,128,241,255,19,64,21,128,26,0,41,192,42
